"","Well","Samples","Lake","Target","Concentration","Ch1+Ch2+","Ch1-Ch2+","Ch1+Ch2-","Ch1-Ch2-","logConc","log_AMR_tot","co_occur","Date","Sample","Fish_ID","Initials","Mass","Length","Fibrosis","Sex","Repro_State","Schisto_Free","Schisto_Cyst","Eust","Fib","Indv_AMR_mass","Indv_AMR_gene_mass","Lake_AMR","Lake_AMR_gene"
"65","D07","BEA_1","BEA","HEX",0,0,0,1,15494,0,0.285178942233662,"floR","24-06-2023","BEA_1",1,"AKH",2.65,64.28,0,"M",3,0,0,0,"N",0.107614695182514,0,0.404719722453423,0.225071579543778
"66","D09","BEA_3","BEA","HEX",0.08,0,1,3,15301,0.0769610411361284,0.542324290825362,"floR & tap","24-06-2023","BEA_3",3,"AKH",1.61,53.45,0,"M",3,0,0,0,"N",0.336847385605815,0.0478018889044276,0.404719722453423,0.225071579543778
"67","E01","VER_1","VER","HEX",0.16,2,0,5,15004,0.148420005118273,0.536493370514568,"floR & tap","29-06-2023","VER_1",1,"GAC",0.83,38.43,0,"M",3,1,0,0,"N",0.64637755483683,0.178819283275028,0.856481456999754,0.051576144562657
"68","E02","VER_2","VER","HEX",0,0,0,8,14548,0,0.85015092936961,"floR","29-06-2023","VER_2",2,"GAC",0.39,31.82,0.5,"M",3,1,0,0,"Y",2.1798741778708,0,0.856481456999754,0.051576144562657
"69","E03","VER_3","VER","HEX",0,0,0,1,14523,0,0.27763173659828,"floR","29-06-2023","VER_3",3,"GAC",0.86,41.27,0.5,"M",3,2,0,0,"Y",0.322827600695674,0,0.856481456999754,0.051576144562657
"70","E04","MOH_1","MOH","HEX",0.08,0,1,3,14708,0.0769610411361284,0.482426149244293,"floR & tap","15-06-2023","MOH_1",1,"AKH",0.74,39.14,0,"M",3,0,0,0,"N",0.651927228708504,0.104001406940714,0.651927228708504,0.0693342712938094
"71","E05","MOH_2","MOH","HEX",0,0,0,3,14692,0,0.215111379616945,"floR","15-06-2023","MOH_2",2,"AKH",0.54,37.42,0,"F",3,0,0,0,"N",0.398354406698047,0,0.354118632764654,0
"72","E06","MOH_3","MOH","HEX",0,0,0,3,14236,0,0.22314355131421,"floR","15-06-2023","MOH_3",3,"AKH",0.84,41.61,0,"F",3,0,0,0,"N",0.265647084897869,0,0.354118632764654,0
"73","A01","MUC_1","MUC","FAM",0,0,0,0,14931,0,0.198850858745165,"Neither","29-06-2023","MUC_1",1,"GAC",2.15,56.83,0,"F",3,0,0,1,"N",0.0924887715093791,0,0.0308295905031264,0.0108342590988495
"74","A02","MUC_2","MUC","FAM",0,0,0,0,15045,0,0.173953307123438,"Neither","29-06-2023","MUC_2",2,"GAC",1.81,51.82,0,"M",3,0,3,0,"N",0.0961067995157116,0,0.0623212302613413,0.0240266998789279
"75","A03","MUC_3","MUC","FAM",0,0,0,0,13371,0,0,"Neither","29-06-2023","MUC_3",3,"GAC",0.98,43.49,0,"F",3,0,0,0,"N",0,0,0.0308295905031264,0.0108342590988495
"76","A04","BOO_1","BOO","FAM",0,0,0,0,14657,0,0,"Neither","17-06-2023","BOO_1",1,"AKH",1.44,51.52,0,"M",1,1,0,0,"N",0,0,0.00528697522951242,0.00528697522951242
"77","A05","BOO_2","BOO","FAM",0,0,0,0,13831,0,0,"Neither","17-06-2023","BOO_2",2,"AKH",5.04,78.22,2,"F",3,1,0,0,"Y",0,0,0.0149290985557159,0.00968119068876947
"78","A06","BOO_3","BOO","FAM",0.08,0,0,1,14209,0.0769610411361284,0.0769610411361284,"floR","17-06-2023","BOO_3",3,"AKH",4.06,76.48,2,"F",2,2,0,0,"Y",0.0189559214621006,0.0189559214621006,0.0149290985557159,0.00968119068876947
"79","A07","BOO_4","BOO","FAM",0,0,0,0,14979,0,0,"Neither","17-06-2023","BOO_4",4,"AKH",3.32,70.76,1,"M",3,0,0,0,"Y",0,0,0.00528697522951242,0.00528697522951242
"80","A08","BOO_5","BOO","FAM",0,0,0,0,13058,0,0,"Neither","17-06-2023","BOO_5",5,"AKH",1.06,47.89,0,"F",1,2,0,0,"N",0,0,0.0149290985557159,0.00968119068876947
"81","A09","FRE_1","FRE","FAM",0,0,0,0,13933,0,0,"Neither","01-06-2023","FRE_1",1,"AKH",0.81,43.8,0,"M",3,0,0,0,"N",0,0,0,0
"82","A10","FRE_2","FRE","FAM",0,0,0,0,15185,0,0,"Neither","01-06-2023","FRE_2",2,"AKH",0.87,44.51,0,"F",2,0,0,0,"N",0,0,0,0
"83","A11","FRE_3","FRE","FAM",0,0,0,0,15327,0,0,"Neither","01-06-2023","FRE_3",3,"AKH",1.12,45.7,0,"F",3,0,0,0,"N",0,0,0,0
"84","A12","FRE_4","FRE","FAM",0,0,0,0,11542,0,0,"Neither","01-06-2023","FRE_4",4,"AKH",1.14,50.15,0,"M",2,0,0,0,"N",0,0,0,0
"85","B01","FRE_5","FRE","FAM",0,0,0,0,15869,0,0,"Neither","01-06-2023","FRE_5",5,"AKH",0.88,45.3,0,"M",3,0,0,0,"N",0,0,0,0
"86","B02","L2B_3","L2B","FAM",0,0,1,0,14705,0,0.0769610411361284,"tap","04-06-2023","L2B_3",3,"AKH",0.82,41.2,2,"F",2,0,1,0,"Y",0.0938549282147907,0,0.0312849760715969,0
